,Example,Chemical Name
0,1,"4-(4-(((l-(dimethylamino)cyclobutyl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro- lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
1,2,"N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH- pyrrolizin-7a(5H)-yl)methoxy)-7-(8-methylnaphthalen-l-yl)pyrido[4,3-d]pyrimidin-4-amine"
2,3,"N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH- pyrrolizin-7a(5H)-yl)methoxy)-7-(8-(trifluoromethyl)naphthalen-l-yl)pyrido[4,3-d]pyrimidin- 4-amine"
3,4,"4-(8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)-4-(((l- morpholinocyclobutyl)methyl)amino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol (racemic, trans)"
4,5,"4-(4-((3-azabicyclo[3.1.0]hexan-6-yl)amino)-8-fluoro-2-(((S)-l-methylpyrrolidin-2- yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
5,6,"4-(4-(((l-(dimethylamino)cyclopropyl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2- fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2- ol"
6,7,"4-(4-(((l-(dimethylamino)cyclopentyl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro- lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
7,8,"4-(8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)-4-(((3- methylazetidin-3-yl)methyl)amino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
8,9,"N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-7-(2-isopropylphenyl)-2-((tetrahydro-lH- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
9,10,"N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH- pyrrolizin-7a(5H)-yl)methoxy)-7-(2-isopropylphenyl)pyrido[4,3-d]pyrimidin-4-amine (racemic, trans)"
10,11,"(S)-4-(4-(((l-(dimethylamino)cyclobutyl)methyl)amino)-8-fluoro-2-((l-methylpyrrolidin-2- yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
11,12,"7-(5-chloro-6-methyl-lH-indazol-4-yl)-N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2- (((2R,7aS)-2-fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4- amine (racemic, trans)"
12,13,"7-(6-chloro-5-methyl-lH-indazol-4-yl)-N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2- (((2R,7aS)-2-fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4- amine (racemic, trans)"
13,14,"7V-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-7-(8-fluoronaphthalen-l-yl)-2-((hexahydro- lJ7-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
14,15,"l-((7-(8-chloronaphthalen-l-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH-pyrrolizin- 7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)-2-methylpropan-2-ol (racemic, trans)"
15,16,7-(3-chloro-2-cyclopropylphenyl)-N-((l-(dimethylamino) cyclobutyl) methyl)-8-fluoro-2-
16,17,"4-(8-fluoro-4-(((ls,3s)-3-(methylamino)cyclobutyl)amino)-2-((tetrahydro-lH-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
17,18,"4-(4-(azetidin-3-ylamino)-8-fluoro-2-((tetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3- d]pyrimidin-7-yl)naphthalen-2-ol"
18,19,"4-(8-fluoro-4-(((3R,4S)-4-methylpyrrolidin-3-yl)amino)-2-((tetrahydro-lH-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
19,20,"N-((l-(dimethylamino)cyclobutyl)methyl)-7-(8-ethynylnaphthalen-l-yl)-8-fluoro-2-(((2R,7aS)- 2-fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine (racemic, trans)"
20,21,"N-((l-(dimethylamino)cyclobutyl)methyl)-7-(8-ethylnaphthalen-l-yl)-8-fluoro-2-(((2R,7aS)-2- fluorotetrahydro- lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine (racemic, trans)"
21,22,"N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-7-(8-fluoronaphthalen-l-yl)-2-(((2R,7aS)-2- fluorotetrahydro- lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine (racemic, trans)"
22,23,"7-(8-chloronaphthalen-l-yl)-N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2-(((2R,7aS)-2- fluorotetrahydro- lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine (racemic, trans)"
23,24,"N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH- pyrrolizin-7a(5H)-yl)methoxy)-7-(8-(prop-l-en-2-yl)naphthalen-l-yl)pyrido[4,3-d]pyrimidin-4- amine (racemic, trans)"
24,25,"N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH- pyrrolizin-7a(5H)-yl)methoxy)-7-(8-isopropylnaphthalen-l-yl)pyrido[4,3-d]pyrimidin-4-amine (racemic, trans)"
25,26,"7-(8-cyclopropylnaphthalen-l-yl)-N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2- (((2S,7aR)-2-fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4- amine (racemic, trans)"
26,27,"N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH- pyrrolizin-7a(5H)-yl)methoxy)-7-(8-(prop-l-yn-l-yl)naphthalen-l-yl)pyrido[4,3-d]pyrimidin-4- amine (racemic, trans)"
27,28,"4-(4-(((l-(dimethylamino)cyclobutyl)methyl)(methyl)amino)-8-fluoro-2-(((2R,7aS)-2- fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2- ol [0292] Synthesized according to Example 1, substituting N,N-dimethyl-l- ((methylamino)methyl)cyclobutan-l -amine in place of l-(aminomethyl)-N,N- dimethylcyclobutan-1 -amine in Step B to give product as the bis TFA salt. LCMS (MM- ES+APCI, Pos): m/z 589.1 [M+H],"
28,30,"4-(4-(((l-(dimethylamino)cyclohexyl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro- lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
29,31,"4-(4-(((l-(dimethylamino)cyclobutyl)methyl)amino)-8-fluoro-2-(2-(l -methyl- IH-imidazol -2- yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
30,32,"(R)-4-(4-(((l-(dimethylamino)cyclobutyl)methyl)amino)-8-fluoro-2-((l-methylpyrrolidin-2- yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
31,33,"4-(4-(((l-(dimethylamino)cyclobutyl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro- lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethylnaphthalen-2-ol"
32,34,"4-(4-(((l -(dimethylamino) cyclopentyl) methyl) amino)-8-fluoro-2-(((2R,7aS)-2- fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl) methoxy) pyrido[4,3-d] pyrimidin-7-yl)-5- ethylnaphthalen-2-ol"
33,35,N-((l-(dimethylamino)cyclobutyl)methyl)-7-(8-ethyl-7-fluoronaphthalen-l-yl)-8-fluoro-2-
34,36,"5-chloro-4-(4-(((l-(dimethylamino)cyclobutyl)methyl)(methyl)amino)-8-fluoro-2-(((2R,7aS)-2- fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2- ol"
35,37,"4-(4-(((l-(dimethylamino)cyclobutyl)methyl)(methyl)amino)-8-fluoro-2-(((2R,7aS)-2- fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5- ethylnaphthalen-2-ol"
36,38,"3-(((8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)-7-(3- hydroxynaphthalen-l-yl)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)azetidin-3-ol (racemic, trans)"
37,39,"4-(4-((2-(dimethylamino)ethyl)amino)-8-fluoro-2-(((2S,7aR)-2-fluorotetrahydro-lH-pyrrolizin- 7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol (racemic, trans)"
38,41,"4-(4-(((4-(dimethylamino)tetrahydro-2H-pyran-4-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2- fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2- ol (racemic, trans)"
39,42,"4-(4-((2-(dimethylamino)-2-methylpropyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-lH- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol (trans racemic)"
40,43,"((3R,7aR)-7a-(((4-(((l-(dimethylamino)cyclobutyl)methyl)amino)-7-(8-ethyl-3- hydroxynaphthalen-l-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)hexahydro-lH- pyrrolizin-3-yl)methyl dimethylcarbamate (racemic trans)"
41,44,"((3R,7aR)-7a-(((4-(((l-(dimethylamino)cyclobutyl)methyl)amino)-7-(8-ethyl-3- hydroxynaphthalen-l-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)hexahydro-lH- pyrrolizin-3-yl)m ethyl methylcarbamate (racemic trans)"
42,45,"((3R,7aR)-7a-(((4-(((l-(dimethylamino)cyclobutyl)methyl)amino)-7-(8-ethynyl-7-fluoro-3- hydroxynaphthalen-l-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)hexahydro-lH- pyrrolizin-3-yl)methyl dimethylcarbamate (racemic trans)"
43,46,"((3R,7aR)-7a-(((4-(((l-(dimethylamino)cyclobutyl)methyl)amino)-7-(8-ethyl-7-fluoro-3- hydroxynaphthalen-l-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)hexahydro-lH- pyrrolizin-3-yl)methyl dimethylcarbamate"
44,47,7-(3-chloro-2-isopropylphenyl)-N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2-
45,48,"7-(3-chloro-2-isopropylphenyl)-N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-2- (((2R,7aS)-2-fluorotetrahydro-lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4- amine (racemic, trans)"
46,49,"((3R,7aR)-7a-(((7-(8-chloronaphthalen-l-yl)-4-(((l-(dimethylamino)cyclobutyl)methyl)amino)-"
47,50,"((3R,7aR)-7a-(((7-(8-chloronaphthalen-l-yl)-4-(((l-(dimethylamino)cyclobutyl)methyl)amino)-"
48,yl)oxy)methyl)hexahydro-lH-pyrrolizin-3-yl)methyl,"((3R,7aR)-7a-(((7-(8-chloronaphthalen-l-yl)-4-(((l-(dimethylamino)cyclobutyl)methyl)amino)-"
49,53,N-((4-(dimethylamino)tetrahydro-2H-pyran-4-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-l-yl)-
50,55,"N 1 -(7-(8-chloronaphthalen- 1 -yl)-8-fluoro-2-((tetrahydro-lH-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-N2,N2,2-trimethylpropane-l,2-diamine"
51,56,N-((l-(dimethylamino)cyclobutyl)methyl)-7-(8-ethynyl-7-fluoronaphthalen-l-yl)-8-fluoro-2-
52,57,"4-(4-(((l-(dimethylamino)cyclobutyl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro- lH-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2- ol"
53,58,N-((l-(dimethylamino)cyclobutyl)methyl)-8-fluoro-7-(8-fluoronaphthalen-l-yl)-N-methyl-2-
