Index,Example,IUPAC
98,98,"6-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,6-diazaspiro[3.5]nonan-1-one"
99,99,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-N-(l -methyl- 1H-indazol-6-yl)pyrido[4,3-d]pyrimidin-4-amine"
100,100,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-N-(1H- indazol-5-yl)pyrido[4,3-d]pyrimidin-4-amine"
101,101,"4-(3-(1H-imidazol-1-yl)azetidin-1-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H- pyrrol izin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine"
102,102,"4-(((7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)inethyl)pyrrolidin-2-one"
103,103,"3-(3-((7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)propyl)-1H-l ,2,4-triazol-5-ol"
104,104,"-(2-(1H-pyrazol-4-yl)pyrrolidin-1-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine"
105,105,"(5-(((7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)-1H-1,2,4-triazol-3-yl)methanol"
106,106,"6-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6-azabicyclo[3.2.1]octan-3-ol"
107,107,"3-((7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)azetidine-1-carboxamide"
108,108,"-(3-(1H-1,2,3-triazol-4-yl)piperidin-1-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro- 1H-pyrrolizin-7a(5H)=yl)methoxy)pyrido[4,3-d]pyrimidine"
109,109,"-(3-(1H-pyrazol-1-yl)piperidin-1-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine"
110,110,"5-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)oxazolidin-2-one"
111,111,"4-(8-fluoro-7-(8-fluoronaphthalen- 1 -yl)-2-((tetrahydro- 1 H-py rrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,4-oxazepan-6-ol"
112,112,"(3R,5R)-1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-I H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-5-methylpiperidin-3-ol"
113,113,"( 1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-3-yl)methanol"
114,114,"-fluoro-7-(8-fluoronaphthalen-1-yl)-4-(5-azaspiro[2.5]octan-5-yl)-2-((tetrahydro-1H-pyrrolizin- 7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine"
115,115,"N-(2-(1H-1,2,3-triazol-4-yl)ethyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
116,116,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrroIizin-7a(5H)- y l)methoxy)pyrido[4,3 -d] pyrimidin-4-yl)-6-methy lazepan-4-ol"
117,117,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-(hydroxymethyl)piperidin-4-ol"
118,118,"N-(3-(1H-1,2,3-triazol-1-yl)propyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
119,119,"N-(3-(1H-tetrazol-1-yl)propyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
120,120,"2-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)isoindolin-4-ol"
121,121,"N-([l,2,4]triazolo[4,3-a]pyrimidin-3-ylmethyI)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2- ((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
122,122,"N-([l,2,4]triazolo[4,3-b]pyridazin-3-ylmethyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2- ((tetiahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4.3-d]pyrimidin-4-amine"
123,123,"4-(3,6-dihydropyridin-l(2H)-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine"
124,124,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-N-(3-(pyridin-3-yl)propyl)-2-((tetrahydro-1H-pyrrolizin- 7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
125,125,"N-(benzo[c][l,2,5]oxadiazol-5-ylmethyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro- 1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
126,126,"5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydropyrazolo[l,5-a]pyrazin-2-amine"
127,127,"3-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)thietane 1,1 -dioxide"
128,128,"(R)-3-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)metlioxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)isothiazolidine 1,1 -dioxide"
129,129,"1 -(8-fluoro-7-(8-fluoronaphthalen- 1 -y l)-2-((tetrahydro- 1 H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)azepan-4-ol"
130,130,"( 1 -(8-fluoro-7-(8-fluoronaphthalen- 1 -y l)-2-((tetrahydro- 1 H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)azepan-3-yl)methanol"
131,131,"-(3-(1H-pyrazol-3-yl)piperidin-1-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine"
132,132,"1-(7-(3-chloro-5-hydroxy-2-((lS,2R)-2-methylcyclopropyl)phenyl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
133,133,"7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decan-2-one"
134,134,"4-(4-(3-(1H-imidazol-1-yl)azetidin-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
135,135,"4-(4-((3-(1H-pyrazol-3-yl)propyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
136,136,"4-(4-(((2-aminopyridin-3-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
137,137,"4-(4-(3-(1H-1,2,4-triazol-5-yl)piperidin-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5,6-difluoronaphthalen-2-ol"
138,138,"5,6-difluoro-4-(8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(3-(3-methyl-1H-1,2,4- triazol-5-yl)piperidin-1-yl)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
139,139,"4-(4-(((1H-benzo[d]imidazol-5-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
140,140,"3-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-azabicyclo[3.2.1]octan-6-ol"
141,141,"3-((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)aniiiio)propenamide"
142,142,"4-(4-(((7H-pyrrolo[2,3-d]pyrimidin-2-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4, 3-d]pyrimidin-7-yl)-5-ethyl-6- fluoronaphthalen-2-ol"
143,143,"5-(((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4- y l)amino)methy l)pyridin-2( 1 H)-one"
144,144,"1-(7-(5-cyclopropyl-6-methyl-1H-indazol-4-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin- 7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
145,145,"4-(4-(3-( 1 H- 1 ,2,4-triazol-5-yl)piperidin- 1 -yl)-8-fluoro-2-(((2R, 7aS)-2-fluorohexahydro- 1 H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol."
146,146,"6-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro- 1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,6-diazaspiro[3.5]nonan-1- one"
147,147,"1 -(7-(8-ethy 1 - 7-fl uoro-3 -hydroxynaphthalen- 1 -y 1)- 8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidine-3-carboxamide"
148,148,"6-(7-(8-ethynyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)- 1 ,6-"
149,149,"4-(7-(8-ethynyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6-methyl-1,4-oxazepan-6-ol"
150,150,"4-(4-(((1H-pyrrolo[2,3-b]pyridin-3-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethynyl-6-fluoronaphthalen-2-ol"
151,151,"1 -(8-fl uoro-7-(3-hy droxy naphthalen- 1 -y l)-2-((tetrahydro- 1 H-py rrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
152,152,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4- (isoxazol-3-ylamino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
153,153,"(3R)-1-(7-(6-chloro-5-(2-methylcyclopropyl)-1H-indazol-4-yl)-8-fluoro-2-(((2R,7aS)-2- fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-"
154,154,"(3R)-1-(7-(1H-benzo[f]indazol-4-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
155,155,"2-(4-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R, 7aS))-2- fluorohexahydro-17/-pyrroliziii-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperazin-1- yl)nicotinonitrile"
156,156,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)- 4-((imidazo[l,2-a]pyridin-6-ylrnethyl)amino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
157,157,"4-(4-((2-(1H-pyrrolo[2,3-b]pyridin-3-yl)ethyl)amino)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro-1H-pyrrolizin-7a-yl)metlioxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6- fluoronaphthalen-2-ol"
158,158,"7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)- 1, 3, 7-triazaspiro[4.5]decane-2, 4-dione"
159,159,"4-(4-(((1H-pyrazol-3-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin- 7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
160,160,"4-(4-(((1H-pyrazol-4-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin- 7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
161,161,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)- 4-(((4-methyl-1H-pyrazol-3-yl)methyl)amino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
162,162,"3-(((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)-1H-pyrazole-4- carboxamide"
163,163,"4-(4-(((1H-pyrazol-4-yl)methyl)(methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
164,164,"4-(4-(((1H-imidazol-4-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
165,165,"4-(4-(((1H-imidazol-2-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
166,166,"3-((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H pyrrolizin-7a-yl)mcthoxy)pyrido[4,3-d]pyrimidin -4-yl)ainino)bicyclo[l .1 .l]pentan-1-01"
167,167,"5-ethyl-6-fIuoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)- 4-((3-(hydroxymethyl)bicyclo[1.1.1]pentan-1-yl)amino)pyrido[4,3-d]pyrimidin-7- yl)naphthalen-2-ol"
168,168,"3-((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)thietane 1,1-dioxide"
169,169,"4-(4-((2-(1H-1,2,3-triazol-4-yl)ethyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
170,170,"1-( 1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-3-yl)methanesulfonamide"
171,171,"4-(4-((1H-indazol-6-yl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
172,172,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)- 4-(3-(pyridin-4-yl)azetidin-1-yl)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
173,173,"1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)azepane-4-carbonitrile"
174,174,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4- ((l-methyl-1H-indazol-6-yl)amino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
175,175,"4-(4-((benzo[c][l,2,5]oxadiazol-5-ylmethyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- l.H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
176,176,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4- ((3-(pyridin-4-yl)propyl)amino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
177,177,"3-(((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((27?,7aS)-2-fluorohexahydro- 177-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)thietanel,l-dioxide"
178,178,"(3R,5R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro-1 H-pyrrolizin-7a-yl)methoxy)pyrido[4.3-d]pyrimidin-4-yl)-5- fluoropiperidin-3-ol"
179,179,"(3S,4S)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro- 1 H-pyrrolizin-7a-yl)methoxy)pyrido[4, 3-d]pyrimidin-4-yl)-4- fluoropiperidin-3-ol"
180,180,"(3R,5S)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R, 7aS))-2- fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-^pyrimidin-4-yl)-5- methylpiperidin-3-ol"
181,181,"(2R,3R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2- methylpiperidin-3-ol"
182,182,"(3R,6R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6- methylpiperidin-3-ol"
183,183,"1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7<2-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-(trifluoromethyl)piperidin-3-ol"
184,184,"3-(difluoromethyl)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)- 2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-3-ol"
185,185,"(2S,3R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2- fluoro hexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[1,3 d]pyrimidin-4-yl)-2- methylpiperidin-3-ol"
