ID,SMILES,Kd,IC50,erk_IC50,Affinity,CNN_Pose_Score,CNN_Affinity
US_131,CN1CC(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)CC1=O,1553,423.9,16666.7,-11.17,0.7021,8.824
US_132,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,64.7,60.5,2558.7,-10.06,0.7383,8.81
US_133,CC1CCCc2cccc(-c3ncc4c(nc(OC[C@@H]5CCCN5C)nc4c3F)N3CC4CCC(C3)N4)c12,112.6,48.8,2048.8,-7.35,0.6417,8.673
US_135,OCC1CCC2(COc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cccc4cccc(Cl)c34)CCCN12,,2.1,4820.9,-10.41,0.7507,9.089
US_138,CO[C@H](C)COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,,8067.8,,-10.71,0.7384,8.711
US_139,Nc1cccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cc(O)cc3ccccc23)n1,25.4,113.3,5245.1,-11.62,0.7004,8.75
US_140,COc1cccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,5591.7,5161.4,,-10.72,0.5982,8.649
US_141,Nc1ccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)cn1,,891.1,16666.7,-11.18,0.6908,8.777
US_142,Fc1c(ncc2c(nc(OC3CCc4[nH]ncc4C3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,13834,8846.4,,-11.4,0.513,8.726
US_143,Fc1c(ncc2c(nc(OC3CCc4cn[nH]c4C3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,14933.6,4563.2,,-8.13,0.5617,8.729
US_144,Cn1nccc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,,1702.3,,-10.95,0.6929,8.895
US_145,Cn1ccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)n1,,5002.5,,-10.7,0.6308,8.741
US_146,Cn1cc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)cn1,,2285.7,,-9.84,0.6972,8.752
US_147,Fc1c(ncc2c(nc(OCCn3cccn3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,18778.9,5876.2,,-10.46,0.6945,8.763
US_148,Cn1cnc2ccc(Oc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cccc4cccc(Cl)c34)cc12,,5180,,-9.15,0.6327,8.752
US_150,Fc1c(ncc2c(nc(OCc3cccn4ccnc34)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,,1981.1,,-9.88,0.5084,8.563
US_151,CN1CCCC1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cncc2cccc(Cl)c12,448,387.5,,-9.69,0.6546,8.888
US_152,O[C@@H]1C[C@@H]2CN(CC1N2)c1nc(nc2c(F)c(ncc12)-c1cccc2cccc(Cl)c12)N1CCC1,,2647.1,50000,-9.23,0.7487,8.814
US_153,CC(C)N1CCC[C@H]1COc1nc(N2C[C@H]3C[C@@H](O)C(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,70.5,50.8,2369.2,-10.12,0.8299,9.215
US_154,Cn1cnnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,,6533.8,,-7.27,0.6775,8.66
US_155,O[C@@H]1C[C@@H]2CN(CC1N2)c1nc(OCCC(F)(F)F)nc2c(F)c(ncc12)-c1cccc2cccc(Cl)c12,,3417,,-10.43,0.7554,8.761
US_156,CN1CCC[C@H]1COc1nc(N2CC3CCC(C)(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,500006,9.1,1786.9,-7.24,0.613,8.63
US_157,CN1CCC[C@H]1COc1nc(N2CC3CCC(CCC#N)(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,22.9,26.6,7998.7,-7.23,0.521,8.658
US_158,FC1=C(N=CC2=C1N=C(N=C2N2CC1(CCC(C2)N1)C(=O)OC)OC[C@H]1N(CCC1)C)C1=CC(=CC2=CC=CC=C12)O,329.9,73.7,4222.3,-2.92,0.5968,8.656
US_159,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)(N3)C(N)=O)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,,331,16666.7,-6.69,0.6116,6.707
US_160,CN1CCC[C@H]1COc1nc(N2CC3CCC(Cl)(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,0.3,120.3,6930.7,-7.1,0.5616,8.564
US_161,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2CCC(C)(C)c12,403.2,273.2,16666.7,-10.6,0.6292,8.794
US_162,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2CCC3(CC3)c12,554.6,677.3,16666.7,-10.55,0.7508,8.951
US_163,Fc1c(ncc2c(nc(OC3CCN(CC3)C(=O)CCl)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,,5552.5,16666.7,-9.61,0.6248,8.822
US_164,Fc1c(ncc2c(nc(OCCNC(=O)c3ccc(cc3)S(F)(=O)=O)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,,4046,16666.7,-10.55,0.5679,8.648
US_165,CN1C[C@@H](C[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12)NC(=O)c1ccc(cc1)S(F)(=O)=O,,97.8,11068.5,-3.12,0.4036,7.166
US_166,O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c1nc(OCCc2nccn2C(F)F)nc2c(F)c(ncc12)-c1cccc2cccc(Cl)c12,,1286.1,,-10.35,0.8165,9.069
US_167,Cc1nccn1CCOc1nc(N2C[C@H]3C[C@@H](O)[C@@H](C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,,226.2,16142.4,-10.65,0.8689,9.149
US_168,O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c1nc(OCCn2ccnc2CF)nc2c(F)c(ncc12)-c1cccc2cccc(Cl)c12,,583,16666.7,-9.73,0.7319,8.8
US_169,O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c1nc(OCCn2ccnc2C(F)(F)F)nc2c(F)c(ncc12)-c1cccc2cccc(Cl)c12,,656.9,,-9.77,0.6669,8.873
US_170,O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c1nc(OCCc2nccn2CF)nc2c(F)c(ncc12)-c1cccc2cccc(Cl)c12,,841.7,,-9.95,0.7361,8.943
US_171,OCc1nccn1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,,757.4,,-10.77,0.6881,8.741
US_172,O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c1nc(OCCn2ccnc2C(F)F)nc2c(F)c(ncc12)-c1cccc2cccc(Cl)c12,,689.1,,-10.51,0.8342,9.026
US_173,Cn1ccnc1CCOc1nc(N2C[C@H]3C[C@@H](O)[C@@H](C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,116.7,99.2,10504.3,-10.78,0.8494,9.094
US_174,CC1CCc2cccc(c12)-c1ncc2c(nc(OC[C@@H]3CCCN3C)nc2c1F)N1CC2CCC(C1)N2,186.1,63.9,12816.8,-11.19,0.6387,8.644
US_175,Cc1cc(-c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N2CC3CCC(C2)N3)c2c(Cl)cccc2c1,,63.8,5555.6,-9.34,0.5748,8.887
US_176,NC(=N)NCCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,,235.1,,-11.31,0.6653,8.809
US_177,NC(=N)NCCCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,,187.1,,-10.56,0.7011,8.707
US_178,Nc1nccn1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,,105,16666.7,-11.4,0.6497,8.722
US_180,Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(-c3c[nH]nn3)c12,,76.1,16666.7,-9.61,0.6319,9.06
US_182,Nc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,,269.1,13549.2,-11.7,0.8063,7.974
US_183,CNc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,,393.3,5252.5,-10.4,0.5527,8.21
US_184,CN(C)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,,1990.6,,-7.59,0.5335,8.281
US_188,Fc1c(ncc2c(ncnc12)N1CC2CCC(C1)N2)-c1cccc2cccc(C#C)c12,,1919.7,,-9.37,0.5635,8.308
US_190,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(C)c2n1)-c1cc(O)cc2ccccc12,76.1,64.1,16314.3,-8.62,0.6204,8.615
US_191,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(Cl)c2n1)-c1cc(O)cc2ccccc12,,69.1,5047,-8.46,0.5354,8.498
US_192,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(C#N)c12,,224.9,,-8.67,0.6182,8.571
US_193,OCC#Cc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,12.5,8517.9,-10.46,0.6251,8.949
US_194,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(C#CCO)c12,,150.8,,-9.73,0.7354,9.004
US_195,CC#Cc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,20.7,2461.5,-9.02,0.5133,8.634
US_196,Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N1CC2CCC(C1)N2)-c1cccc2OC(F)(F)Oc12,,467,,-10.05,0.5464,8.507
US_197,Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N1CC2CCC(C1)N2)-c1cccc(c1C(F)(F)F)C(F)(F)F,,99.9,16666.7,-9.58,0.7204,9.142
US_198,Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(C#N)c12,,20.3,2425.5,-8.93,0.5156,8.516
US_199,CSc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,2,464.8,-10.48,0.6088,8.822
US_200,Fc1c(ncc2c(nc(OCC34CCCN3CCOC4)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,,229.7,,-8.99,0.595,8.771
US_201,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(C=C)c12,,70.2,13915.2,-10.5,0.7254,8.904
US_202,COCCO[C@@H]1C[C@@H](COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)N(C)C1,,94,10186.8,-10.23,0.7722,8.934
US_203,F[C@@H]1CN2CCCC2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cncc3cccc(Cl)c23)C1,,28.1,2183.2,-11.56,0.6983,9.148
US_204,F[C@@H]1CN2CCCC2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cncc3cccc(C#C)c23)C1,,4.4,306.7,-9.5,0.5175,8.76
US_205,F[C@@H]1CN2CCCC2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(C#C)c23)C1,,1.2,242.1,-9.54,0.6738,8.924
US_206,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(C#C)c12,,5.1,899.6,-9.86,0.6932,8.849
US_207,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cc(C)ccc12,,4906.8,,-9.26,0.6358,8.563
US_208,CN1C[C@@H](C[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12)Oc1cccc(c1)S(F)(=O)=O,,1836.7,16666.7,-11.09,0.8487,9.287
US_209,CN1C[C@@H](C[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12)Oc1ccc(cc1)S(F)(=O)=O,,2746.7,16666.7,-10.96,0.6664,9.092
US_210,CN1CC[C@H](Oc2cccc(c2)S(F)(=O)=O)[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,,5464.7,16666.7,-10.3,0.6687,9.164
US_211,CN1C[C@@H](C[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12)NC(=O)c1cccc(c1)S(F)(=O)=O,,211.5,13506.7,-9.35,0.6272,8.783
US_212,Oc1cc(-c2ncc3c(nc(OCCNC(=O)c4ccc(cc4)S(F)(=O)=O)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,,1218.4,,-10.86,0.5741,8.513
US_213,Oc1cc(-c2ncc3c(nc(OCCNC(=O)c4cccc(c4)S(F)(=O)=O)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,,7529,,-10.09,0.5796,8.614
US_214,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)(N3)C=O)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,283.6,,16666.7,-6.34,0.5551,6.6
US_215,CN1CCC[C@H]1COc1nc(N2CC3CCC(CO)(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,70.4,,16666.7,-8.36,0.6981,8.756
US_217,Oc1cc(-c2ncc3c(nc(OCc4ccccc4F)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,2977,,,-10.91,0.5662,8.543
US_220,Cn1cc(cn1)[C@H]1CN2CCC[C@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)C1,,8.7,1344.9,-7.44,0.6309,8.997
US_221,Fc1c(ncc2c(nc(OC[C@]34CCCN3C[C@@H](C4)c3ccccc3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,,15.7,15840.8,-10.41,0.684,9.1
US_222,OCC12CCCN1CC(C2)Oc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,,1126.7,,-10.49,0.7252,8.846
US_227,C[C@H]1CN2CCC[C@@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)C1,,6.4,2976,-12.12,0.7144,9.056
US_228,CC1(C)CN2CCCC2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)C1,,87.7,13718.5,-7.97,0.6236,9.029
US_229,Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N1CC2CCC(C1)N2)-c1ccccc1OC(F)(F)F,,121,11330.3,-10.4,0.6192,8.779
US_230,Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N1CC2CCC(C1)N2)-c1cccc(Cl)c1OC(F)(F)F,,1433.1,,-9.11,0.6888,9.147
US_231,COc1cc(-c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N2CC3CCC(C2)N3)c2c(cccc2c1)C#C,,19.8,2806.1,-8.79,0.516,8.901
US_232,Oc1cc(-c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N2CC3CCC(C2)N3)c2c(C#C)c(F)ccc2c1,,0.6,15.2,-10.89,0.6749,9.315
US_233,C(Oc1nc(N2CC3CCC(C2)N3)c2cnc(cc2n1)-c1cccc2ccccc12)C12CCCN1CCC2,,387.2,15568.1,-11.01,0.5814,8.235
US_235,Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Br)c12,,1.2,338.6,-9.87,0.5933,8.8
US_237,Oc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,500.3,,-11.36,0.5945,8.73
US_239,OCCc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,2,2951.1,-10.6,0.5682,8.823
US_240,NC(=O)Cc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,314.8,16666.7,-6.31,0.538,8.659
US_241,NCC#Cc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,79.2,16666.7,-4.22,0.5727,6.711
US_242,CCC#Cc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,82.2,16666.7,-8.93,0.5436,8.824
US_243,Oc1cc(-c2ncc3c(nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2c(cccc2c1)C#C,,0.4,0.8,-10.77,0.627,9.018
US_244,Oc1cc(-c2ncc3c(ncnc3c2F)N2CC3CCC(C2)N3)c2c(cccc2c1)C#C,,4.2,763,-9.9,0.5376,8.395
US_245,Oc1cc(-c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N2CC3CCC(C2)N3)c2c(Cl)c(F)ccc2c1,,0.5,23.4,-10.87,0.6888,9.232
US_246,Oc1cc(-c2ncc3c(nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2c(F)c(F)ccc2c1,,0.6,1,-9.91,0.7255,9.315
US_247,FC(F)Cc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,12.6,4310.5,-10.22,0.6483,9.038
US_248,FCCc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,3.2,1082.8,-10.57,0.603,9.01
US_249,Cc1cc2[nH]ncc2c(c1C)-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,3.5,7705.6,-11.13,0.8009,9.124
US_250,Cc1cc2[nH]ccc2c(c1C)-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,28.2,7477.7,-11.5,0.8062,9.127
US_253,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)N3CC4CCC(C3)N4)c12,,0.8,2,-9.91,0.6933,9.332
US_254,CCCc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,6.1,2428.8,-10.2,0.6254,9.049
US_255,FCCCc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,8.7,673.4,-8.66,0.6592,9.119
US_256,Cc1ccc(O)cc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,13.2,16666.7,-8.84,0.6706,8.738
US_257,Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N1CC2CCC(C1)N2)-c1c2cn[nH]c2cc2ccccc12,,5.1,530.7,-10.86,0.7276,9.097
US_258,Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N1CC2CCC(C1)N2)-c1c(OC(F)(F)F)ccc2[nH]ncc12,,6.5,1460.4,-9.04,0.7554,9.202
US_260,CN1C[C@@H](C[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12)OC(=O)NCCOCc1ccc(O)cc1,,107.1,16666.7,-10.63,0.6546,8.891
US_261,NCCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,,8304.2,,-10.35,0.7659,8.658
US_262,NC1(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)CCCCC1,,2255.6,,-11.37,0.6915,9.041
US_263,CCc1ccc(O)cc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,1.5,7641,-10.12,0.6209,8.748
US_264,Fc1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,4698.9,,-9.03,0.6154,8.478
US_265,Nc1cccc(F)c1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,794,,-8.5,0.5428,8.547
US_266,Nc1c(Cl)cc(Cl)c(F)c1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,278,,-9.66,0.6293,9.025
US_267,Oc1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,3261.6,,-8.52,0.5053,8.2
US_268,CNc1c(F)cccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,1546.3,,-9.12,0.5613,8.544
US_269,CCNc1c(F)cccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,4037.9,,-9.01,0.5909,8.676
US_270,Nc1c(F)cccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,4492.4,,-8.41,0.5284,8.455
