ID,SMILES,Affinity,CNN_Pose_Score,CNN_Affinity
mrtx,C#Cc1c(F)ccc(c12)cc(O)cc2-c(nc3)c(F)c(c34)nc(nc4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8,-11.67,0.7473,9.381
hop_1,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3csc(c34)c(nc([nH+]4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1csc(c12)cnc[nH+]2,-4.28,0.4276,6.573
hop_2,C1[C@@H](F)CN(CCC2)[C@]12COc3cc(N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(c[nH+]6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from [nH+]1cc(C)n(c12)cccc2,-6.28,0.7264,9.243
hop_3,C1[C@@H](F)CN(CCC2)[C@]12COc(nc3N(C[C@H]45)C[C@H](N5)CC4)nc(c36)C[C@@H]([C@@H]([NH3+])C6)c7cc(O)cc(c78)ccc(F)c8C#C St 2 from C1[C@H]([NH3+])CCc(c12)ncnc2,-3.05,0.5356,6.429
hop_4,C1[C@@H](F)CN(CCC2)[C@]12COc3nc(N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(cn6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from n1cc(C)n(c12)ccnc2,-6.8,0.7382,9.158
hop_5,C#Cc1c(F)ccc(c12)cc(O)cc2C[C@@H]3NC(=O)Oc(c34)c(c(N)c(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from C[C@@H]1NC(=O)Oc(c12)cc(N)cc2,-6.63,0.5259,6.768
hop_6,C1[C@@H](F)CN(CCC2)[C@]12COc(c3NC4=O)cc(N(C[C@H]56)C[C@H](N6)CC5)c(c3[C@@H]47)CC[C@H]7c8cc(O)cc(c89)ccc(F)c9C#C St 2 from c12c3cccc2CCC[C@H]1C(=O)N3,-2.85,0.659,6.927
hop_7,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3o[nH+]c(c34)c(cc(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1o[nH+]c(c12)cccc2,-6.51,0.7377,9.059
hop_8,C1[C@@H](F)CN(CCC2)[C@]12COc(c3)cc(N(C[C@H]45)C[C@H](N5)CC4)c(c36)OC(=O)[C@H]([C@@H]6[NH3+])c7cc(O)cc(c78)ccc(F)c8C#C St 2 from c1cccc(c12)OC(=O)C[C@H]2[NH3+],-4.81,0.494,6.492
hop_9,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3n(C)[nH+]c(c34)c(c(N)c(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from Cc1n(C)[nH+]c(c12)cc(N)cc2,-5.04,0.4637,6.873
hop_10,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3c(N)ncc(c34)c(c([NH3+])c(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from Cc1c(N)ncc(c12)cc([NH3+])cc2,-5.22,0.4199,6.961
hop_11,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(cc3C)n(c34)nc(N(C[C@H]56)C[C@H](N6)CC5)cc4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1cc(C)n(c12)nccc2,-6.26,0.3704,6.819
hop_12,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(c[nH+]6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from [nH+]1cc(C)n(c12)cccc2,-4.43,0.6081,8.954
hop_13,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3nnn(c34)c(cc(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1nnn(c12)cccc2,-6.53,0.7481,9.126
hop_14,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H]([C@@H]3[NH3+])[C@@H](C)Oc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from [NH3+][C@@H]1C[C@H](C)Oc(c12)cccc2,-3.87,0.5056,8.722
hop_15,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3cn(C)c(c34)c([nH+]c(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from Cc1cn(C)c(c12)c[nH+]cc2,-6.78,0.3466,6.696
hop_16,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H](C3)CNc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4C#N)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from N#Cc1cccc(c12)NCCC2,-5.35,0.5058,6.598
hop_17,C1[C@@H](F)CN(CCC2)[C@]12COc(cc(c3)N(C[C@H]45)C[C@H](N5)CC4)c(c36)oc(C#N)c6Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from Cc1c(C#N)oc(c12)cccc2,-4.64,0.47,6.751
hop_18,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3n(C)[nH+]c(c34)c(N(C[C@H]56)C[C@H](N6)CC5)c(N)c(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1n(C)[nH+]c(c12)cc(N)cc2,-4.48,0.6803,9.123
hop_19,C1[C@@H](F)CN(CCC2)[C@]12COc(nc3N(C[C@H]45)C[C@H](N5)CC4)n(c36)CC[C@H](NC6)C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1ncn(c12)CCCNC2,-4.67,0.4432,6.356
hop_20,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3cnn(c34)c(c(C)c(c4)N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1cnn(c12)cc(C)cc2,-6.2,0.7502,9.296
hop_21,C1[C@@H](F)CN(CCC2)[C@]12COC[C@]3(C)C(CC(=O)N(C[C@H]45)C[C@H](N5)CC4)=C(C(=O)OC3)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from C1OC(=O)C(C)=CC1(C)C,-5.22,0.5244,6.23
hop_22,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)cc(c36)S[N@H+](C6=O)C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from O=C1[NH2+]Sc(c12)cccc2,-7.55,0.5816,8.735
hop_23,C1[C@@H](F)CN(CCC2)[C@]12COc(nc3N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(cn6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from n1cc(C)n(c12)ccnc2,-4.22,0.4255,6.749
hop_24,C1[C@@H](F)CN(CCC2)[C@]12COc3cc(N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(nc6C#N)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from N#Cc1nc(C)n(c12)cccc2,-4.9,0.4844,7.088
hop_25,C1[C@@H](F)CN(CCC2)[C@]12COc(n3)c(C)c(N(C[C@H]45)C[C@H](N5)CC4)n(c36)cc(C)c6Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from Cc1c(C)cn(c12)cc(C)cn2,-0.92,0.5741,9.222
hop_26,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3cc(C)[nH]c(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4=O)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1cc(C)[nH]c(c12)cccc2=O,-0.95,0.7255,9.147
hop_27,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H](C3)/C(=N\O)Nc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from C1C/C(=N\O)Nc(c12)cccc2,-0.78,0.5392,8.875
hop_28,C1[C@@H](F)CN(CCC2)[C@]12COc(cc(c3NC4=O)N(C[C@H]56)C[C@H](N6)CC5)c(c3[C@H]47)CC[C@@H]7c8cc(O)cc(c89)ccc(F)c9C#C St 1 from c12c3cccc2CCC[C@H]1C(=O)N3,0.31,0.6881,9.085
hop_29,C#Cc1c(F)ccc(c12)cc(O)cc2CC(NC(=O)N3)=C([C@H]34)C[C@H](N(C[C@H]56)C[C@H](N6)CC5)C[C@@H]4OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from CC=1NC(=O)N[C@@H](C12)CCCC2,-4.96,0.4647,6.699
hop_30,C1[C@@H](F)CN(CCC2)[C@]12COc(nc([nH+]3)N(C[C@H]45)C[C@H](N5)CC4)c(c36)[nH]nc6Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from Cc1n[nH]c(c12)cnc[nH+]2,-7.59,0.682,9.031
hop_31,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(nc6C#N)Cc7cc(O)cc(c78)ccc(F)c8C#C St 3 from N#Cc1nc(C)n(c12)cccc2,-3.42,0.6087,7.195
hop_32,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(no3)c(c34)cc(c(Cl)c4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1noc(c12)cc(Cl)cc2,-3.74,0.5651,8.734
hop_33,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(c[nH]3)c(c34)c(C#N)c(N(C[C@H]56)C[C@H](N6)CC5)cc4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from N#Cc1cccc(c12)[nH]cc2C,-5.83,0.718,9.526
hop_34,C1[C@@H](F)CN(CCC2)[C@]12COc(c(C#CC)c3N(C[C@H]45)C[C@H](N5)CC4)cc(c36)C[C@@H](CC6)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from CC#Cc(c1)ccc(c12)CCCC2,-2.55,0.4082,6.441
hop_35,C1[C@@H](F)CN(CCC2)[C@]12COC[C@]3(C)C(CC(=O)N(C[C@H]45)C[C@H](N5)CC4)=C(CCC3)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from C1CCC(C)=CC1(C)C,-4.95,0.604,6.854
hop_36,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)[nH+]c(c36)[C@H](O)C[C@H](CC6)C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1cc[nH+]c(c12)[C@H](O)CCCC2,-4.99,0.4175,6.529
hop_37,C1[C@@H](F)CN(CCC2)[C@]12COc3[nH+]c(N(C[C@H]45)C[C@H](N5)CC4)c(c(=O)[nH]3)NS(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from O=c1cc[nH+]c[nH]1,-9.31,0.7405,8.913
hop_38,C#Cc1c(F)ccc(c12)cc(O)cc2C(=O)Cc3cc(N(C[C@H]45)C[C@H](N5)CC4)o[n+]3C(=O)OC[C@@]67N(C[C@H](F)C6)CCC7 St 1 from Cc1cco[nH+]1,-4.92,0.5146,6.386
hop_39,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3c(N)ncc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)c([NH3+])c(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1c(N)ncc(c12)cc([NH3+])cc2,-2.2,0.6457,9.525
hop_40,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)c([O-])n(c3=O)CC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from Cn1c(=O)cccc1[O-],-4.33,0.6301,6.647
hop_41,C1[C@@H](F)CN(CCC2)[C@]12COc(nc3N(C[C@H]45)C[C@H](N5)CC4)[nH+]nc3CS(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from Cc1cnc[nH+]n1,-11.35,0.7583,9.036
hop_42,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)c([nH+]c3N(C[C@H]45)C[C@H](N5)CC4)n(c36)c(c(s6)C)Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from Cc(s1)c(C)n(c12)c[nH+]c2,-5.59,0.4002,6.684
hop_43,C1[C@@H](F)CN(CCC2)[C@]12COc(c3)cc(N(C[C@H]45)C[C@H](N5)CC4)c(c36)oc(C#N)c6Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from Cc1c(C#N)oc(c12)cccc2,-4.4,0.5781,8.81
hop_44,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(cc(C)n3C)c(c34)c(=O)c(N(C[C@H]56)C[C@H](N6)CC5)cc4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1cc(C)n(C)c(c12)cccc2=O,-4.02,0.4878,7.003
hop_45,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3coc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4N)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1coc(c12)cccc2N,-5.38,0.478,6.673
hop_46,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)c(c3)c(N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(nc6C#N)Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from N#Cc1nc(C)n(c12)cccc2,-4.76,0.3522,6.588
hop_47,C#Cc1c(F)ccc(c12)cc(O)cc2C(=O)[C@H]([NH2+][C@@H]3C)COc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from C[C@H]1[NH2+]CCOc(c12)cccc2,0.11,0.5721,9.037
hop_48,C1[C@@H](F)CN(CCC2)[C@]12COc(cc([nH+]3)N(C[C@H]45)C[C@H](N5)CC4)cc3CC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from c1cc[nH+]cc1,-8.31,0.7106,8.923
hop_49,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(cc3)nc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)n(n4)C(=O)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc(n1)ccc(c12)n[nH]c2,-10.45,0.5185,8.802
hop_50,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)cc(c36)[C@H](OC6(C)C)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from CC1(C)O[C@@H](C)c(c12)cccc2,-5.78,0.5988,6.657
hop_51,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(cc3C)n(c34)nc(cc4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from Cc1cc(C)n(c12)nccc2,-4.69,0.5316,8.674
hop_52,C1[C@@H](F)CN(CCC2)[C@]12COC[C@H]3[NH2+][C@H](C)CC(=C3CCN(C[C@H]45)C[C@H](N5)CC4)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from CC1=C[C@H](C)[NH2+][C@@H](C)C1,-5.2,0.4118,6.449
hop_53,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3cn(C)c(c34)c(N(C[C@H]56)C[C@H](N6)CC5)[nH+]c(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1cn(C)c(c12)c[nH+]cc2,-3.71,0.6448,8.85
hop_54,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H](CCC3)[C@@H](O)c(c34)[nH+]c(N(C[C@H]56)C[C@H](N6)CC5)cc4OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from c1cc[nH+]c(c12)[C@H](O)CCCC2,-5.54,0.4414,6.422
hop_55,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(c3)ccc(c34)c(n(C)c4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc(c1)ccc(c12)cn(C)c2,-8.85,0.7077,9.175
hop_56,C1[C@@H](F)CN(CCC2)[C@]12COc(cc(c3)N(C[C@H]45)C[C@H](N5)CC4)c(c36)[S@](=O)C[C@@H](/C6=N/O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1cccc(c12)[S@](=O)CCC\2=N\O,8.39,0.6916,8.586
hop_57,C#Cc1c(F)ccc(c12)cc(O)cc2CC(C(=O)[C@H]3C)=C([C@H]34)C[C@H](N(C[C@H]56)C[C@H](N6)CC5)C[C@@H]4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from CC=1C(=O)[C@H](C)[C@H](C12)CCCC2,-4.24,0.6604,9.256
hop_58,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(c(cn3)C#N)c(c34)cc(c([O-])c4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1c(C#N)cnc(c12)cc([O-])cc2,1.97,0.5197,9.103
hop_59,C1[C@@H](F)CN(CCC2)[C@]12COc3n[nH+]c(c(c3C)N(C[C@H]45)C[C@H](N5)CC4)NCC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from Cc1cc(N)[nH+]nc1,-10.88,0.8692,9.41
hop_60,C#Cc1c(F)ccc(c12)cc(O)cc2C[C@@H](N(C)C3=O)c(c34)nc(cc4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from O=C1N(C)[C@H](C)c(c12)nccc2,-3.58,0.3935,6.428
hop_61,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)C3=NCC[N@H+](C[C@@H]3N(C[C@H]45)C[C@H](N5)CC4)C(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from C1=NCC[NH2+]CC1,-5.6,0.4384,6.274
hop_62,C1[C@@H](F)CN(CCC2)[C@]12COc(c(F)c3N(C[C@H]45)C[C@H](N5)CC4)c(c6c37)[nH]cc6[C@@H](CNC7=O)c8cc(O)cc(c89)ccc(F)c9C#C St 1 from c12c3c[nH]c1cc(F)cc2C(=O)NCC3,-2.61,0.4328,6.983
hop_63,C1[C@@H](F)CN(CCC2)[C@]12COc(cc(c3C)N(C[C@H]45)C[C@H](N5)CC4)n(c36)ncc6Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from Cc1cnn(c12)cccc2C,-6.4,0.7553,9.375
hop_64,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)n3c(N(C[C@H]45)C[C@H](N5)CC4)c(C#N)c(c36)c(cc(n6)C)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from N#Cc1c[nH]c(c12)nc(C)cc2C,-2.79,0.4029,6.861
hop_65,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)[n+](c3N(C[C@H]45)C[C@H](N5)CC4)cn(n3)CC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from Cn1c[nH+]cn1,-9.97,0.6333,8.644
hop_66,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)c(c3N(C[C@H]45)C[C@H](N5)CC4)sc(c36)C(=O)[C@@H](CS6)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1csc(c12)C(=O)CCS2,-6.58,0.5195,8.655
hop_67,C#Cc1c(F)ccc(c12)cc(O)cc2C\C(C)=C\3[C@H](NN[C@H]34)[C@@H](N(C)C(=O)N(C[C@H]56)C[C@H](N6)CC5)[C@@H]4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from CC(C)=C([C@H]12)[C@@H](CC1)NN2,8.76,0.4253,8.566
hop_68,C1[C@@H](F)CN(CCC2)[C@]12COc(n(c34)cn[nH+]4)cc(N(C[C@H]56)C[C@H](N6)CC5)c3NS(=O)(=O)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from [nH+]1ncn(c12)cccc2,-4.75,0.3445,6.632
hop_69,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)C[C@H]3[C@@H](OC[C@@H]([NH2+]3)C(=O)N(C[C@H]45)C[C@H](N5)CC4)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from C[C@@H]1[C@@H](C)OCC[NH2+]1,-5.25,0.3966,6.242
hop_70,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)[C@@H](c(c34)[nH]cc4C#N)[C@@H](N(C[C@H]56)C[C@H](N6)CC5)CC[C@@H]3c7cc(O)cc(c78)ccc(F)c8C#C St 1 from N#Cc1c[nH]c(c12)CCCCC2,-3.89,0.5605,6.809
hop_71,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(c[nH]3)c(c34)c(C#N)c(cc4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from N#Cc1cccc(c12)[nH]cc2C,-5.14,0.5368,6.955
hop_72,C#Cc1c(F)ccc(c12)cc(O)cc2C(=O)CN(C3)C[C@H]([C@]34C)C[C@@H](N(C[C@H]56)C[C@H](N6)CC5)[C@@H]4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from C1CC[C@@H]([C@@]12C)CN(C)C2,-5.64,0.46,6.679
hop_73,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@]34C[C@@H](N(C[C@H]56)C[C@H](N6)CC5)C[C@@H](C3)N(C4)CC(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 2 from CN(C1)[C@H](C[C@H]12)CCC2,-4.55,0.4427,6.322
hop_74,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(cc3=O)[nH]c(c34)c(N(C[C@H]56)C[C@H](N6)CC5)n(n4)C(=O)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc([nH]1)cc(=O)c(c12)n[nH]c2,-5.72,0.5378,8.643
hop_75,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@H](C[C@H](C3)N(C[C@H]45)C[C@H](N5)CC4)[C@H]([N@@H+]36)CCC[C@H]6Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from C1CC[C@H](C)[N@H+]([C@@H]12)CCCC2,-4.0,0.3855,6.449
hop_76,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H](C3)C[C@@H](N(C[C@H]45)C[C@H](N5)CC4)[C@@H]([N@H+]36)CC[C@H]([C@@H]6C)c7cc(O)cc(c78)ccc(F)c8C#C St 3 from C1CC[C@H](C)[N@H+]([C@@H]12)CCCC2,-2.93,0.3856,5.813
hop_77,C1[C@@H](F)CN(CCC2)[C@]12COc3[nH+]c(N(C[C@H]45)C[C@H](N5)CC4)cn(c3=O)S(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from O=c1c[nH+]cc[nH]1,-5.43,0.45,6.551
hop_78,C1[C@@H](F)CN(CCC2)[C@]12COc(cc(c3)N(C[C@H]45)C[C@H](N5)CC4)c(c36)CCS(=O)(=O)[C@@H]([C@H]6O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1cccc(c12)CCS(=O)(=O)C[C@@H]2O,8.44,0.5871,8.561
hop_79,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H]3C[NH2+]C[C@@H]([C@@]34O)C[C@H](C[C@@H]4C(=O)N(C[C@H]56)C[C@H](N6)CC5)c7cc(O)cc(c78)ccc(F)c8C#C St 2 from C1C[NH2+]C[C@@H]([C@@]12O)CCCC2,-1.36,0.4475,6.075
hop_80,C1[C@@H](F)CN(CCC2)[C@]12COc3c(N)c(N(C[C@H]45)C[C@H](N5)CC4)c(c(c36)c[nH+]cc6)NS(=O)(=O)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1c[nH+]cc(c12)ccc(c2)N,-4.63,0.4269,6.81
hop_81,C1[C@@H](F)CN(CCC2)[C@]12COC[C@H]3CC[N@H+](C[C@@H]3N(C[C@H]45)C[C@H](N5)CC4)NC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from C[C@H]1CC[N@@H+](N)CC1,-4.24,0.5083,6.607
